conno;cou;nodeno;sta;dena;z6;tech;fuel;cap;eff;co2;coal;BnetzA;Plantname;0;dena
p050;DE;n361;DE_BW;dena41;DE_SW;coal;coal;505;0.39;0.93;4.44;BNA0518;Rheinhafen-Dampfkraftwerk;0;41
p051;DE;n008;DE_SH;dena21;DE_NW;coal;coal;323;0.35;1.03;0.82;BNA0526;Gemeinschafts-KW Kiel;0;21
p052;DE;n251;DE_NRW;dena74;DE_WE;ccgt;gas;800;0.57;0.33;0;BNA0548;Knapsack Gas;0;74
p053;DE;n076;DE_NI;dena71;DE_NW;gas;gas;412;0.4;0.46;0;BNA0604;Emsland;0;71
p054;DE;n076;DE_NI;dena71;DE_NW;gas;gas;412;0.41;0.46;0;BNA0605;Emsland;0;71
p055;DE;n076;DE_NI;dena71;DE_NW;ccgt;gas;876;0.59;0.32;0;BNA0606;Emsland;0;71
p056;DE;n076;DE_NI;dena71;DE_NW;nuc;nuc;1329;0.33;0;0;BNA0607;Emsland;0;71
p057;DE;n324;DE_RP;dena75;DE_SW;gas;gas;568;0.45;0.42;0;BNA0614b;Kraftwerk Mitte;0;75
p058;DE;n143;DE_NRW;dena72;DE_WE;coal;coal;324;0.35;1.04;3.3;BNA0619;KW Lünen;0;72
p059;DE;n327;DE_RP;dena75;DE_SW;coal;coal;203;0.35;1.03;4.92;BNA0643;GKM ;0;75
p060;DE;n328;DE_RP;dena75;DE_SW;coal;coal;255;0.44;0.82;3.93;BNA0644;GKM ;0;75
p061;DE;n328;DE_RP;dena75;DE_SW;coal;coal;425;0.38;0.95;4.53;BNA0645;GKM ;0;75
p062;DE;n327;DE_RP;dena75;DE_SW;coal;coal;435;0.41;0.88;4.22;BNA0646;GKM ;0;75
p063;DE;n363;DE_BW;dena42;DE_SW;oil;oil;278;0.36;0.75;0;BNA0649;Dampfkraftwerk Marbach am Neckar;0;42
p064;DE;n357;DE_BW;dena41;DE_SW;nuc;nuc;1310;0.33;0;0;BNA0686;Gemeinschaftskernkraftwerk Neckarwestheim II;0;41
p065;DE;n207;DE_NRW;dena72;DE_WE;lig;lig;277;0.33;1.2;0;BNA0696;Neurath;0;72
p066;DE;n227;DE_NRW;dena72;DE_WE;lig;lig;288;0.33;1.2;0;BNA0697;Neurath;0;72
p067;DE;n227;DE_NRW;dena72;DE_WE;lig;lig;292;0.34;1.19;0;BNA0698;Neurath;0;72
p068;DE;n227;DE_NRW;dena72;DE_WE;lig;lig;607;0.34;1.18;0;BNA0699;Neurath;0;72
p069;DE;n235;DE_NRW;dena74;DE_WE;lig;lig;604;0.34;1.17;0;BNA0700;Neurath;0;74
p070;DE;n242;DE_NRW;dena74;DE_WE;lig;lig;297;0.32;1.24;0;BNA0705;Niederaußem;0;74
p071;DE;n227;DE_NRW;dena72;DE_WE;lig;lig;299;0.33;1.21;0;BNA0706;Niederaußem;0;72
p072;DE;n235;DE_NRW;dena74;DE_WE;lig;lig;648;0.34;1.19;0;BNA0707;Niederaußem;0;74
p073;DE;n235;DE_NRW;dena74;DE_WE;lig;lig;653;0.34;1.19;0;BNA0708;Niederaußem;0;74
p074;DE;n235;DE_NRW;dena74;DE_WE;lig;lig;944;0.41;0.99;0;BNA0709;Niederaußem;0;74
p075;DE;n242;DE_NRW;dena74;DE_WE;lig;lig;294;0.32;1.27;0;BNA0712;Niederaußem;0;74
p076;DE;n227;DE_NRW;dena72;DE_WE;lig;lig;295;0.33;1.22;0;BNA0713;Niederaußem;0;72
p077;DE;n120;DE_BB;dena84;DE_EA;lig;lig;465;0.35;1.13;0;BNA0785;KW Jänschwalde;0;84
p078;DE;n120;DE_BB;dena84;DE_EA;lig;lig;465;0.36;1.12;0;BNA0786;KW Jänschwalde;0;84
p079;DE;n120;DE_BB;dena84;DE_EA;lig;lig;465;0.36;1.11;0;BNA0787;KW Jänschwalde;0;84
p080;DE;n120;DE_BB;dena84;DE_EA;lig;lig;465;0.36;1.1;0;BNA0788;KW Jänschwalde;0;84
p081;DE;n120;DE_BB;dena84;DE_EA;lig;lig;465;0.37;1.09;0;BNA0789;KW Jänschwalde;0;84
p082;DE;n120;DE_BB;dena84;DE_EA;lig;lig;465;0.37;1.07;0;BNA0790;KW Jänschwalde;0;84
p083;DE;n080;DE_NRW;dena23;DE_NW;coal;coal;875;0.39;0.92;1.46;BNA0793;Heyden;0;23
p084;DE;n350;DE_BW;dena41;DE_SW;nuc;nuc;1402;0.33;0;0;BNA0802;Kernkraftwerk Philippsburg 2;0;41
p085;DE;n103;DE_NRW;dena23;DE_NW;coal;coal;303;0.35;1.03;1.64;BNA0813;Kraftwerk Veltheim;0;23
p086;DE;n333;DE_SL;dena75;DE_SW;coal;coal;656;0.37;0.99;4.72;BNA0820;Weiher;0;75
p087;DE;n012;DE_MV;dena81;DE_NE;coal;coal;508;0.41;0.88;1.4;BNA0849;KNG Kraftwerk Rostock;0;81
p088;DE;n188;DE_ST;dena83;DE_EA;lig;lig;450;0.39;1.03;0;BNA0878;Schkopau;0;83
p089;DE;n188;DE_ST;dena83;DE_EA;lig;lig;450;0.39;1.03;0;BNA0879;Schkopau;0;83
p090;DE;n156;DE_SN;dena84;DE_EA;lig;lig;750;0.39;1.02;0;BNA0914;Schwarze Pumpe;0;84
p091;DE;n156;DE_SN;dena84;DE_EA;lig;lig;750;0.4;1.01;0;BNA0915;Schwarze Pumpe;0;84
p092;DE;n028;DE_NI;dena22;DE_NW;gas;gas;220;0.31;0.61;0;BNA0918;Dow Stade;0;22
p093;DE;n404;DE_BY;dena26;DE_SE;coal;coal;333;0.4;0.89;7.13;BNA0969;Nord 2;0;26
p094;DE;n150;DE_NRW;dena72;DE_WE;coal;coal;318;0.35;1.02;3.26;BNA0989;KW West;0;72
p095;DE;n150;DE_NRW;dena72;DE_WE;coal;coal;322;0.35;1.02;3.26;BNA0990;KW West;0;72
p096;DE;n150;DE_NRW;dena72;DE_WE;coal;coal;695;0.38;0.95;3.02;BNA0991;KW Voerde;0;72
p097;DE;n150;DE_NRW;dena72;DE_WE;coal;coal;695;0.39;0.93;2.96;BNA0992;KW Voerde;0;72
p098;DE;n373;DE_BY;dena26;DE_SE;ccgt;gas;846;0.59;0.32;0;BNA0994;Gemeinschaftskraftwerk Irsching ;0;26
