conno;cou;nodeno;sta;dena;z6;tech;fuel;cap;eff;co2;coal;BnetzA;Plantname;0;dena
p099;DE;n373;DE_BY;dena26;DE_SE;ccgt;gas;545;0.59;0.32;0;BNA0995;"Ulrich Hartmann;;
p100;DE;n249;DE_NRW;dena74;DE_WE;lig;lig;304;0.32;1.25;0;BNA1026;Weisweiler;0;74
p101;DE;n249;DE_NRW;dena74;DE_WE;lig;lig;590;0.34;1.19;0;BNA1027;Weisweiler;0;74
p102;DE;n249;DE_NRW;dena74;DE_WE;lig;lig;592;0.34;1.18;0;BNA1028;Weisweiler;0;74
p103;DE;n205;DE_NRW;dena73;DE_WE;oil;oil;218;0.32;0.84;0;BNA1036;Kraftwerk Werdohl-Elverlingsen;0;73
p104;DE;n205;DE_NRW;dena73;DE_WE;coal;coal;310;0.38;0.95;3.02;BNA1037;Kraftwerk Werdohl-Elverlingsen;0;73
p105;DE;n133;DE_NRW;dena73;DE_WE;gas;gas;412;0.4;0.46;0;BNA1045;Gersteinwerk;0;73
p106;DE;n133;DE_NRW;dena73;DE_WE;coal;coal;608;0.39;0.94;2.98;BNA1046a;Gersteinwerk;0;73
p107;DE;n033;DE_NI;dena22;DE_NW;coal;coal;757;0.37;0.99;0.79;BNA1061;Wilhelmshaven;0;22
p108;DE;n393;DE_BY;dena26;DE_SE;coal;coal;468;0.39;0.92;7.35;BNA1093;Zolling;0;26
p109;DE;n235;DE_NRW;dena74;DE_WE;lig;lig;1050;0.43;0.93;0;BNA1401a;BoA 2;0;74
p110;DE;n235;DE_NRW;dena74;DE_WE;lig;lig;1050;0.43;0.93;0;BNA1401b;BoA 3;0;74
p111;DE;n027;DE_NI;dena22;DE_NW;gas;gas;36;0.41;0.46;0;BNA1437;KWK AOS GmbH;0;22
p112;DE;n072;DE_BE;dena81;DE_NE;gas;gas;44;0.35;0.53;0;BNA0005;Ahrensfelde;0;81
p113;DE;n072;DE_BE;dena81;DE_NE;gas;gas;44;0.35;0.53;0;BNA0006;Ahrensfelde;0;81
p114;DE;n072;DE_BE;dena81;DE_NE;gas;gas;44;0.35;0.53;0;BNA0007;Ahrensfelde;0;81
p115;DE;n072;DE_BE;dena81;DE_NE;gas;gas;44;0.35;0.53;0;BNA0008;Ahrensfelde;0;81
p116;DE;n111;DE_NI;dena23;DE_NW;gas;gas;23;0.25;0.75;0;BNA0012b;Werkskraftwerk Sappi Alfeld;0;23
p117;DE;n377;DE_BW;dena42;DE_SW;gas;gas;75;0.37;0.51;0;BNA0015;Heizkraftwerk Altbach/Deizisau;0;42
p118;DE;n377;DE_BW;dena42;DE_SW;gas;gas;58;0.4;0.47;0;BNA0016;Heizkraftwerk Altbach/Deizisau;0;42
p119;DE;n377;DE_BW;dena42;DE_SW;gas;gas;66;0.31;0.61;0;BNA0017;Heizkraftwerk Altbach/Deizisau;0;42
p120;DE;n377;DE_BW;dena42;DE_SW;gas;gas;94;0.32;0.6;0;BNA0018;Heizkraftwerk Altbach/Deizisau;0;42
p121;DE;n010;DE_MV;dena81;DE_NE;gas;gas;18;0.36;0.52;0;BNA0025;Kesselhaus Zuckerfabrik;0;81
p122;DE;n394;DE_BY;dena76;DE_SE;gas;gas;33;0.39;0.48;0;BNA0033;Gasturbine;0;76
p123;DE;n117;DE_ST;dena81;DE_NE;gas;gas;19;0.36;0.52;0;BNA0051;KWK-Anlage Barby;0;81
p124;DE;n077;DE_BE;dena81;DE_NE;gas;gas;9;0.41;0.46;0;BNA0070;HKW Adlershof;0;81
p125;DE;n077;DE_BE;dena81;DE_NE;gas;gas;6;0.37;0.51;0;BNA0071;HKW Adlershof;0;81
p126;DE;n077;DE_BE;dena81;DE_NE;gas;gas;8;0.39;0.49;0;BNA0072;HKW Adlershof;0;81
p127;DE;n074;DE_BE;dena81;DE_NE;ccgt;gas;444;0.52;0.36;0;BNA0073;Mitte;0;81
p128;DE;n075;DE_BE;dena81;DE_NE;gas;gas;245;0.32;0.6;0;BNA0074;Charlottenburg;0;81
p129;DE;n075;DE_BE;dena81;DE_NE;gas;gas;167;0.35;0.53;0;BNA0075;Lichterfelde;0;81
p130;DE;n075;DE_BE;dena81;DE_NE;gas;gas;167;0.36;0.53;0;BNA0076;Lichterfelde;0;81
p131;DE;n077;DE_BE;dena81;DE_NE;lig;lig;164;0.35;1.13;0;BNA0081;Klingenberg;0;81
p132;DE;n073;DE_BE;dena81;DE_NE;coal;coal;124;0.35;1.04;1.65;BNA0082;Reuter;0;81
p133;DE;n075;DE_BE;dena81;DE_NE;oil;oil;293;0.32;0.83;0;BNA0083;Wilmersdorf;0;81
p134;DE;n073;DE_BE;dena81;DE_NE;was;was;36;1;0;0;BNA0084;Reuter;0;81
p135;DE;n075;DE_BE;dena81;DE_NE;coal;coal;89;0.4;0.9;1.43;BNA0085a;Moabit;0;81
p136;DE;n075;DE_BE;dena81;DE_NE;oil;oil;54;0.31;0.87;0;BNA0085b;Moabit;0;81
p137;DE;n117;DE_ST;dena81;DE_NE;was;was;35;1;0;0;BNA0088a;Dampfturbinenanlage der EBS-Kessel;0;81
p138;DE;n117;DE_ST;dena81;DE_NE;gas;gas;77;0.38;0.5;0;BNA0088b;Industriekraftwerk Bernburg (IKB);0;81
p139;DE;n113;DE_NRW;dena73;DE_WE;was;was;34;1;0;0;BNA0097;MVA Bielefeld;0;73
p140;DE;n108;DE_NRW;dena73;DE_WE;gas;gas;27;0.32;0.58;0;BNA0098;HKW Schildescher Straße;0;73
p141;DE;n108;DE_NRW;dena73;DE_WE;ccgt;gas;37;0.56;0.33;0;BNA0100;GuD Kraftwerk Hillegossen;0;73
p142;DE;n108;DE_NRW;dena73;DE_WE;gas;gas;61;0.35;0.54;0;BNA0101;HKW Schildescher Straße;0;73
p143;DE;n126;DE_ST;dena83;DE_EA;ccgt;gas;106;0.54;0.35;0;BNA0105;GuD Bitterfeld;0;83
p144;DE;n173;DE_NRW;dena72;DE_WE;gas;gas;24;0.39;0.48;0;BNA0110;Bochum;0;72
p145;DE;n174;DE_NRW;dena72;DE_WE;gas;gas;35;0.36;0.52;0;BNA0111;HKW Hiltrop;0;72
p146;DE;n258;DE_NRW;dena74;DE_WE;gas;gas;14;0.38;0.5;0;BNA0117;Heizkraftwerk Karlstraße;0;74
p147;DE;n121;DE_BB;dena84;DE_EA;gas;gas;42;0.37;0.51;0;BNA0129;HKW;0;84
p148;DE;n079;DE_BB;dena81;DE_NE;ccgt;gas;160;0.51;0.37;0;BNA0130;Kirchmöser;0;81
p149;DE;n087;DE_NI;dena23;DE_NW;gas;gas;23;0.31;0.62;0;BNA0135;HKW-Mitte;0;23
p150;DE;n087;DE_NI;dena23;DE_NW;ccgt;gas;74;0.59;0.32;0;BNA0136;HKW-Mitte;0;23
p151;DE;n087;DE_NI;dena23;DE_NW;gas;gas;29;0.29;0.65;0;BNA0137;HKW-Nord;0;23
p152;DE;n087;DE_NI;dena23;DE_NW;coal;coal;43;0.39;0.94;1.49;BNA0138;HKW-Mitte;0;23
p153;DE;n055;DE_NI;dena22;DE_NW;was;was;29;1;0;0;BNA0139;KW Hafen;0;22
p154;DE;n055;DE_NI;dena22;DE_NW;oil;oil;93;0.31;0.85;0;BNA0141;KW Mittelsbüren;0;22
p155;DE;n055;DE_NI;dena22;DE_NW;oth;oil;179;0.35;0.74;0;BNA0142;KW Mittelsbüren;0;22
p156;DE;n053;DE_HB;dena22;DE_NW;coal;coal;119;0.4;0.91;0.72;BNA0144;KW Hastedt;0;22
p157;DE;n055;DE_NI;dena22;DE_NW;coal;coal;127;0.35;1.04;0.83;BNA0145;KW Hafen;0;22
p158;DE;n055;DE_NI;dena22;DE_NW;coal;coal;278;0.37;0.97;0.77;BNA0146;KW Hafen;0;22
p159;DE;n182;DE_NRW;dena73;DE_WE;gas;gas;16;0.37;0.51;0;BNA0156b;Egger Kraftwerk Briilon;0;73
p160;DE;n406;DE_BY;dena26;DE_SE;gas;gas;206;0.39;0.49;0;BNA0172;Dampfkraftwerk BGH - O1;0;26
p161;DE;n406;DE_BY;dena26;DE_SE;gas;gas;57;0.39;0.49;0;BNA0174;Industriepark Werk Gendorf;0;26
p162;DE;n250;DE_SN;dena84;DE_EA;lig;lig;57;0.37;1.08;0;BNA0177;HKW Chemnitz  Nord II;0;84
p163;DE;n250;DE_SN;dena84;DE_EA;gas;gas;66;0.34;0.55;0;BNA0178;HKW Chemnitz  Nord II;0;84
p164;DE;n250;DE_SN;dena84;DE_EA;lig;lig;91;0.38;1.06;0;BNA0179;HKW Chemnitz  Nord II;0;84
p165;DE;n120;DE_BB;dena84;DE_EA;lig;lig;74;0.4;1.01;0;BNA0183;HKW Cottbus;0;84
p166;DE;n142;DE_NRW;dena72;DE_WE;coal;coal;95;0.34;1.08;3.43;BNA0187;Datteln;0;72
p167;DE;n142;DE_NRW;dena72;DE_WE;coal;coal;95;0.34;1.08;3.43;BNA0188;Datteln;0;72
p168;DE;n142;DE_NRW;dena72;DE_WE;coal;coal;113;0.35;1.04;3.3;BNA0189;Datteln;0;72
p169;DE;n126;DE_ST;dena83;DE_EA;lig;lig;49;0.39;1.03;0;BNA0194;Kraftwerk Dessau;0;83
p170;DE;n213;DE_SN;dena84;DE_EA;lig;lig;67;0.28;1.43;0;BNA0196;Deuben;0;84
p171;DE;n223;DE_NRW;dena72;DE_WE;ccgt;gas;586;0.54;0.35;0;BNA0199;Dormagen;0;72
p172;DE;n159;DE_NRW;dena72;DE_WE;gas;gas;14;0.39;0.48;0;BNA0202;Dortmund;0;72
p173;DE;n240;DE_SN;dena84;DE_EA;ccgt;gas;250;0.52;0.36;0;BNA0207;HKW Dresden-Nossener Brücke;0;84
p174;DE;n175;DE_NRW;dena72;DE_WE;coal;coal;95;0.39;0.93;2.96;BNA0211;HKW I;0;72
p175;DE;n191;DE_NRW;dena72;DE_WE;gas;gas;46;0.39;0.49;0;BNA0213;HKW III/A;0;72
p176;DE;n191;DE_NRW;dena72;DE_WE;gas;gas;271;0.39;0.48;0;BNA0214;HKW III/B;0;72
p177;DE;n175;DE_NRW;dena72;DE_WE;oth;oil;71;0.35;0.74;0;BNA0217;Duisburg Ruhrort 2;0;72
p178;DE;n175;DE_NRW;dena72;DE_WE;oth;oil;107;0.35;0.74;0;BNA0218;Duisburg Ruhrort 3;0;72
p179;DE;n171;DE_NRW;dena72;DE_WE;oth;oil;196;0.35;0.74;0;BNA0219;Duisburg Ruhrort 4;0;72
p180;DE;n222;DE_NRW;dena72;DE_WE;gas;gas;116;0.54;0.35;0;BNA0220;GuD;0;72
p181;DE;n222;DE_NRW;dena72;DE_WE;gas;gas;75;0.41;0.46;0;BNA0221a;GT;0;72
p182;DE;n222;DE_NRW;dena72;DE_WE;gas;gas;77;0.41;0.46;0;BNA0221b;GT;0;72
p183;DE;n222;DE_NRW;dena72;DE_WE;gas;gas;340;0.41;0.46;0;BNA0221c;Gasblock;0;72
p184;DE;n212;DE_NRW;dena72;DE_WE;oil;oil;91;0.32;0.82;0;BNA0222;GT;0;72
p185;DE;n212;DE_NRW;dena72;DE_WE;was;was;54;1;0;0;BNA0223b;DT;0;72
p186;DE;n396;DE_BW;dena42;DE_SW;gas;gas;5;0.32;0.59;0;BNA0232c;Werkskraftwerk Sappi Ehingen;0;42
p187;DE;n195;DE_SN;dena84;DE_EA;gas;gas;54;0.36;0.52;0;BNA0233;Kombikraftwerk;0;84
p188;DE;n105;DE_BB;dena84;DE_EA;oth;oil;28;0.35;0.74;0;BNA0237;EBS-Heizkraftwerk;0;84
p189;DE;n105;DE_BB;dena84;DE_EA;oth;oil;113;0.35;0.74;0;BNA0238;IKW;0;84
p190;DE;n299;DE_BY;dena25;DE_SE;gas;gas;63;0.4;0.47;0;BNA0243;HKW Eltmann;0;25
p191;DE;n348;DE_SL;dena75;DE_SW;coal;coal;283;0.35;1.02;4.88;BNA0252;Kraftwerk Ensdorf;0;75
p192;DE;n238;DE_TH;dena83;DE_EA;gas;gas;13;0.37;0.51;0;BNA0255;HKW Iderhoffstraße;0;83
p193;DE;n238;DE_TH;dena83;DE_EA;gas;gas;91;0.38;0.5;0;BNA0256;HKW Erfurt-Ost;0;83
p194;DE;n322;DE_BY;dena25;DE_SE;gas;gas;25;0.39;0.48;0;BNA0261a;HKW Erlangen;0;25
p195;DE;n322;DE_BY;dena25;DE_SE;coal;coal;17;0.38;0.96;6.88;BNA0261b;HKW Erlangen;0;25
p196;DE;n003;DE_SH;dena21;DE_NW;coal;coal;27;0.41;0.89;0.71;BNA0270;Heizkraftwerk FL;0;21
p197;DE;n003;DE_SH;dena21;DE_NW;coal;coal;29;0.4;0.91;0.73;BNA0271;Heizkraftwerk FL;0;21
p198;DE;n003;DE_SH;dena21;DE_NW;coal;coal;33;0.39;0.93;0.74;BNA0272;Heizkraftwerk FL;0;21
p199;DE;n003;DE_SH;dena21;DE_NW;coal;coal;35;0.38;0.95;0.76;BNA0273;Heizkraftwerk FL;0;21
p200;DE;n003;DE_SH;dena21;DE_NW;coal;coal;23;0.37;0.97;0.78;BNA0274;Heizkraftwerk FL;0;21
p201;DE;n105;DE_BB;dena84;DE_EA;lig;lig;45;0.39;1.02;0;BNA0284;Heizkraftwerk FFO;0;84
p202;DE;n290;DE_HE;dena24;DE_WE;gas;gas;81;0.39;0.48;0;BNA0285;HKW Niederrad;0;24
p203;DE;n290;DE_HE;dena24;DE_WE;gas;gas;115;0.36;0.52;0;BNA0286;HKW West;0;24
p204;DE;n290;DE_HE;dena24;DE_WE;was;was;26;1;0;0;BNA0287a;MHKW Frankfurt;0;24
p205;DE;n290;DE_HE;dena24;DE_WE;was;was;47;1;0;0;BNA0287b;MHKW Frankfurt;0;24
p206;DE;n290;DE_HE;dena24;DE_WE;gas;gas;65;0.31;0.61;0;BNA0288;HKW Niederrad;0;24
p207;DE;n290;DE_HE;dena24;DE_WE;oth;oil;23;0.35;0.74;0;BNA0289a;HKW West;0;24
p208;DE;n290;DE_HE;dena24;DE_WE;coal;coal;62;0.4;0.91;3.61;BNA0290;HKW West;0;24
p209;DE;n290;DE_HE;dena24;DE_WE;coal;coal;62;0.4;0.91;3.61;BNA0289b;HKW West;0;24
p210;DE;n251;DE_NRW;dena74;DE_WE;lig;lig;118;0.3;1.33;0;BNA0292;Frechen/Wachtberg;0;74
p211;DE;n407;DE_BW;dena42;DE_SW;ccgt;gas;60;0.53;0.35;0;BNA0293;GuD Anlage WVK;0;42
p212;DE;n276;DE_HE;dena24;DE_WE;oil;oil;26;0.41;0.65;0;BNA0318;ÜWAG Kraftwerk Fulda;0;24
p213;DE;n147;DE_NRW;dena72;DE_WE;coal;coal;70;0.39;0.93;2.96;BNA0336;FWK Buer;0;72
p214;DE;n262;DE_TH;dena83;DE_EA;gas;gas;86;0.37;0.51;0;BNA0343;Heizkraftwerk Gera-Nord;0;83
p215;DE;n165;DE_NI;dena24;DE_WE;gas;gas;22;0.38;0.5;0;BNA0354;HKW Göttingen;0;24
p216;DE;n010;DE_MV;dena81;DE_NE;gas;gas;16;0.37;0.51;0;BNA0360;"HKW ""Helmshäger Berg""";0;81
p217;DE;n430;DE_BW;dena42;DE_SW;gas;gas;46;0.39;0.48;0;BNA0361;Kraftwerk Grenzach-Wyhlen;0;42
p218;DE;n220;DE_SN;dena84;DE_EA;oil;oil;18;0.37;0.72;0;BNA0369;Spitzenlastkraftwerk Sermuth;0;84
p219;DE;n190;DE_ST;dena83;DE_EA;oil;oil;127;0.36;0.72;0;BNA0373;Spitzenlastkraftwerk Großkayna;0;83
p220;DE;n121;DE_BB;dena84;DE_EA;was;was;23;1;0;0;BNA0380;EEW Großräschen;0;84
p221;DE;n116;DE_NRW;dena73;DE_WE;gas;gas;25;0.36;0.52;0;BNA0386;Energiezentrum Mohn Media;0;73
p222;DE;n189;DE_NRW;dena72;DE_WE;gas;gas;267;0.33;0.57;0;BNA0389;Heizkraftwerk Hagen-Kabel;0;72
p223;DE;n190;DE_ST;dena83;DE_EA;gas;gas;113;0.39;0.48;0;BNA0392a;HKW Halle Trotha;0;83
p224;DE;n171;DE_NRW;dena72;DE_WE;oth;oil;71;0.35;0.74;0;BNA0395;Duisburg Hamborn 3;0;72
p225;DE;n171;DE_NRW;dena72;DE_WE;oth;oil;119;0.35;0.74;0;BNA0396;Duisburg Hamborn 4;0;72
p226;DE;n171;DE_NRW;dena72;DE_WE;oth;oil;268;0.35;0.74;0;BNA0397;Duisburg Hamborn 5;0;72
p227;DE;n037;DE_HH;dena82;DE_NW;was;was;24;1;0;0;BNA0398;MVR Müllverwertung Rugenberger Damm GmbH & Co. KG;0;82
p228;DE;n034;DE_HH;dena82;DE_NW;ccgt;gas;127;0.58;0.32;0;BNA0400;GuD Tiefstack;0;82
p229;DE;n037;DE_HH;dena82;DE_NW;gas;gas;19;0.36;0.52;0;BNA0401;Heizkraftwerk;0;82
p230;DE;n034;DE_HH;dena82;DE_NW;coal;coal;194;0.41;0.88;0.7;BNA0402;Tiefstack;0;82
p231;DE;n025;DE_SH;dena82;DE_NW;coal;coal;123;0.33;1.09;0.87;BNA0403;Wedel;0;82
p232;DE;n025;DE_SH;dena82;DE_NW;coal;coal;137;0.33;1.1;0.88;BNA0404;Wedel;0;82
p233;DE;n110;DE_NI;dena23;DE_NW;was;was;15;1;0;0;BNA0407;Enertec Hameln;0;23
p234;DE;n134;DE_NRW;dena73;DE_WE;coal;coal;284;0.35;1.04;3.3;BNA0413;Westfalen;0;73
p235;DE;n078;DE_NI;dena23;DE_NW;was;was;23;1;0;0;BNA0417;E.ON Energy from Waste Hannover GmbH;0;23
p236;DE;n078;DE_NI;dena23;DE_NW;ccgt;gas;250;0.53;0.35;0;BNA0418;GKL;0;23
p237;DE;n078;DE_NI;dena23;DE_NW;gas;gas;118;0.32;0.6;0;BNA0419;KWH;0;23
p238;DE;n084;DE_NI;dena23;DE_NW;coal;coal;130;0.4;0.91;1.44;BNA0420;GKH;0;23
p239;DE;n084;DE_NI;dena23;DE_NW;coal;coal;130;0.4;0.91;1.44;BNA0421;GKH;0;23
p240;DE;n418;DE_BY;dena26;DE_SE;oil;oil;25;0.33;0.79;0;BNA0427;Kraftwerk Hausham;0;26
p241;DE;n418;DE_BY;dena26;DE_SE;oil;oil;25;0.33;0.79;0;BNA0428;Kraftwerk Hausham;0;26
p242;DE;n418;DE_BY;dena26;DE_SE;oil;oil;25;0.33;0.79;0;BNA0429;Kraftwerk Hausham;0;26
p243;DE;n418;DE_BY;dena26;DE_SE;oil;oil;25;0.33;0.79;0;BNA0430;Kraftwerk Hausham;0;26
p244;DE;n353;DE_BW;dena41;DE_SW;coal;coal;110;0.34;1.07;5.1;BNA0432;Heizkraftwerk Heilbronn;0;41
p245;DE;n353;DE_BW;dena41;DE_SW;coal;coal;110;0.34;1.06;5.06;BNA0433;Heizkraftwerk Heilbronn;0;41
p246;DE;n101;DE_NI;dena23;DE_NW;was;was;38;1;0;0;BNA0438;TRV Buschhaus;0;23
p247;DE;n176;DE_NRW;dena72;DE_WE;gas;gas;484;0.4;0.47;0;BNA0442;Cuno Heizkraftwerk Herdecke;0;72
p248;DE;n245;DE_HE;dena24;DE_WE;gas;gas;127;0.29;0.64;0;BNA0444;Wintershall;0;24
p249;DE;n158;DE_NRW;dena72;DE_WE;coal;coal;132;0.32;1.13;3.61;BNA0448;Shamrock;0;72
p250;DE;n251;DE_NRW;dena74;DE_WE;lig;lig;66;0.38;1.05;0;BNA0489;Goldenberg;0;74
p251;DE;n251;DE_NRW;dena74;DE_WE;lig;lig;85;0.38;1.04;0;BNA0490;Goldenberg;0;74
p252;DE;n251;DE_NRW;dena74;DE_WE;lig;lig;52;0.39;1.03;0;BNA0491;Ville/Berrenrath;0;74
p253;DE;n292;DE_HE;dena75;DE_SW;gas;gas;112;0.41;0.46;0;BNA0497;ADS-Anlage;0;75
p254;DE;n292;DE_HE;dena75;DE_SW;coal;coal;66;0.4;0.91;4.33;BNA0498;Heizkraftwerk;0;75
p255;DE;n292;DE_HE;dena75;DE_SW;gas;gas;100;0.39;0.49;0;BNA0499;Heizkraftwerk;0;75
p256;DE;n244;DE_TH;dena83;DE_EA;gas;gas;211;0.37;0.51;0;BNA0504;HKW Jena;0;83
p257;DE;n326;DE_RP;dena75;DE_SW;gas;gas;13;0.35;0.54;0;BNA0510a;HKW Karcherstr.;0;75
p258;DE;n326;DE_RP;dena75;DE_SW;coal;coal;13;0.42;0.87;4.15;BNA0510b;HKW Karcherstr.;0;75
p259;DE;n359;DE_BW;dena41;DE_SW;gas;gas;46;0.34;0.56;0;BNA0515;Heizkraftwerk West;0;41
p260;DE;n361;DE_BW;dena41;DE_SW;oil;oil;48;0.37;0.72;0;BNA0516;MiRO;0;41
p261;DE;n361;DE_BW;dena41;DE_SW;oil;oil;27;0.37;0.72;0;BNA0517;MiRO;0;41
p262;DE;n166;DE_NRW;dena72;DE_WE;was;was;38;1;0;0;BNA0519;Karnap;0;72
p263;DE;n208;DE_HE;dena24;DE_WE;gas;gas;61;0.35;0.54;0;BNA0521;Kombi-HKW;0;24
p264;DE;n208;DE_HE;dena24;DE_WE;lig;lig;34;0.37;1.08;0;BNA0523;FKK;0;24
p265;DE;n005;DE_SH;dena21;DE_NW;gas;gas;23;0.3;0.62;0;BNA0527;HKW Humboldtstr.;0;21
p266;DE;n108;DE_NRW;dena73;DE_WE;gas;gas;234;0.33;0.57;0;BNA0531;KW Kirchlengern;0;73
p267;DE;n231;DE_NRW;dena74;DE_WE;lig;lig;75;0.42;0.94;0;BNA0543;HKW Merkenich;0;74
p268;DE;n255;DE_NRW;dena74;DE_WE;gas;gas;41;0.36;0.52;0;BNA0544;HKW Südstadt;0;74
p269;DE;n237;DE_NRW;dena74;DE_WE;ccgt;gas;413;0.56;0.33;0;BNA0545;HKW Niehl 2;0;74
p270;DE;n231;DE_NRW;dena74;DE_WE;gas;gas;125;0.39;0.48;0;BNA0546;HKW Merkenich;0;74
p271;DE;n255;DE_NRW;dena74;DE_WE;oil;oil;85;0.39;0.68;0;BNA0547;Raffineriekraftwerk Köln Godorf;0;74
p272;DE;n204;DE_NRW;dena72;DE_WE;gas;gas;30;0.39;0.48;0;BNA0556a;KWK-Anlage Krefeld DT;0;72
p273;DE;n202;DE_NRW;dena72;DE_WE;gas;gas;16;0.39;0.48;0;BNA0556b;KWK-Anlage Krefeld VM;0;72
p274;DE;n193;DE_NRW;dena72;DE_WE;coal;coal;26;0.32;1.13;3.61;BNA0557a;Kraftwerk L 57;0;72
p275;DE;n193;DE_NRW;dena72;DE_WE;coal;coal;110;0.35;1.02;3.26;BNA0557b;Kraftwerk N 230;0;72
p276;DE;n195;DE_SN;dena84;DE_EA;gas;gas;194;0.37;0.51;0;BNA0588;Heizkraftwerk Leipzig-Nord;0;84
p277;DE;n190;DE_ST;dena83;DE_EA;was;was;16;1;0;0;BNA0590;TREA Leuna;0;83
p278;DE;n190;DE_ST;dena83;DE_EA;was;was;16;1;0;0;BNA0591;TREA Leuna;0;83
p279;DE;n190;DE_ST;dena83;DE_EA;gas;gas;60;0.44;0.43;0;BNA0592;GuD Leuna;0;83
p280;DE;n190;DE_ST;dena83;DE_EA;gas;gas;41;0.36;0.52;0;BNA0593;ILK-GuD;0;83
p281;DE;n190;DE_ST;dena83;DE_EA;gas;gas;41;0.36;0.52;0;BNA0594;ILK-GuD;0;83
p282;DE;n190;DE_ST;dena83;DE_EA;gas;gas;43;0.36;0.52;0;BNA0595;ILK-GuD;0;83
p283;DE;n190;DE_ST;dena83;DE_EA;oil;oil;98;0.37;0.71;0;BNA0596;Raffineriekraftwerk;0;83
p284;DE;n190;DE_ST;dena83;DE_EA;oth;oil;10;0.35;0.74;0;BNA0597;ILK-GuD;0;83
p285;DE;n117;DE_ST;dena81;DE_NE;oth;oil;17;0.35;0.74;0;BNA0598a;ILK-EKT;0;81
p286;DE;n190;DE_ST;dena83;DE_EA;oth;oil;24;0.35;0.74;0;BNA0598b;ILK-GuD;0;83
p287;DE;n231;DE_NRW;dena74;DE_WE;was;was;12;1;0;0;BNA0599;AVEA MHKW Leverkusen GmbH & Co. KG;0;74
p288;DE;n231;DE_NRW;dena74;DE_WE;gas;gas;34;0.36;0.51;0;BNA0600a;X-Kraftwerk;0;74
p289;DE;n193;DE_NRW;dena72;DE_WE;coal;coal;103;0.33;1.09;3.48;BNA0600b;G-Kraftwerk;0;72
p290;DE;n076;DE_NI;dena71;DE_NW;gas;gas;130;0.4;0.47;0;BNA0602;Emsland;0;71
p291;DE;n076;DE_NI;dena71;DE_NW;gas;gas;130;0.4;0.47;0;BNA0603;Emsland;0;71
p292;DE;n324;DE_RP;dena75;DE_SW;gas;gas;452;0.44;0.43;0;BNA0615;Kraftwerk Süd;0;75
p293;DE;n327;DE_RP;dena75;DE_SW;oth;oil;67;0.35;0.74;0;BNA0616b;Kraftwerk Nord;0;75
p294;DE;n143;DE_NRW;dena72;DE_WE;coal;coal;149;0.33;1.09;3.48;BNA0618;KW Lünen;0;72
p295;DE;n095;DE_ST;dena81;DE_NE;was;was;29;1;0;0;BNA0622;MHKW Rothensee;0;81
p296;DE;n095;DE_ST;dena81;DE_NE;was;was;29;1;0;0;BNA0623;MHKW Rothensee;0;81
p297;DE;n297;DE_RP;dena75;DE_SW;ccgt;gas;398;0.54;0.34;0;BNA0626;Kraftwerk Mainz;0;75
p298;DE;n324;DE_RP;dena75;DE_SW;was;was;9;1;0;0;BNA0640;HKW Mannheim;0;75
p299;DE;n324;DE_RP;dena75;DE_SW;was;was;22;1;0;0;BNA0641a;HKW Mannheim;0;75
p300;DE;n324;DE_RP;dena75;DE_SW;was;was;8;1;0;0;BNA0641b;HKW Mannheim;0;75
p301;DE;n324;DE_RP;dena75;DE_SW;was;was;6;1;0;0;BNA0641c;HKW Mannheim;0;75
p302;DE;n363;DE_BW;dena42;DE_SW;oil;oil;82;0.4;0.66;0;BNA0647;Dampfkraftwerk Marbach am Neckar;0;42
p303;DE;n363;DE_BW;dena42;DE_SW;oil;oil;90;0.41;0.66;0;BNA0648;Dampfkraftwerk Marbach am Neckar;0;42
p304;DE;n129;DE_NRW;dena72;DE_WE;gas;gas;71;0.31;0.61;0;BNA0658;Kraftwerk III;0;72
p305;DE;n129;DE_NRW;dena72;DE_WE;gas;gas;90;0.31;0.6;0;BNA0659;Kraftwerk III;0;72
p306;DE;n129;DE_NRW;dena72;DE_WE;coal;coal;55;0.35;1.02;3.25;BNA0660;Kraftwerk I  ;0;72
p307;DE;n129;DE_NRW;dena72;DE_WE;coal;coal;60;0.34;1.06;3.37;BNA0661;Kraftwerk II;0;72
p308;DE;n129;DE_NRW;dena72;DE_WE;coal;coal;60;0.38;0.94;3;BNA0662a;Kraftwerk I ;0;72
p309;DE;n129;DE_NRW;dena72;DE_WE;coal;coal;134;0.41;0.87;2.78;BNA0662b;Kraftwerk I;0;72
p310;DE;n404;DE_BY;dena26;DE_SE;ccgt;gas;276;0.45;0.42;0;BNA0683a;Süd DT1;0;26
p311;DE;n404;DE_BY;dena26;DE_SE;ccgt;gas;265;0.56;0.34;0;BNA0684a;Süd GT 60;0;26
p312;DE;n118;DE_NRW;dena73;DE_WE;gas;gas;116;0.39;0.48;0;BNA0685;Heizkraftwerk Hafen;0;73
p313;DE;n022;DE_MV;dena81;DE_NE;gas;gas;87;0.44;0.43;0;BNA0688;GuD-HKW Neubrandenburg;0;81
p314;DE;n008;DE_SH;dena21;DE_NW;oth;oil;71;0.35;0.74;0;BNA0693a;Heizkraftwerk NMS;0;21
p315;DE;n008;DE_SH;dena21;DE_NW;oil;oil;6;0.33;0.79;0;BNA0693c;Heizkraftwerk NMS;0;21
p316;DE;n370;DE_BY;dena26;DE_SE;gas;gas;29;0.37;0.51;0;BNA0702;Cogeneration;0;26
